trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
249,False,"{'a': 0.8, 'e': 0.006535711111015199}",20,12,14.050568149368056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.8, 'e': 0.006404996888794895}",20,10,17.038560849054956,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.8, 'e': 0.006276896951018997}",20,15,9.44894493307298,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.8, 'e': 0.006151359011998617}",25,18,13.609216850724579,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.8, 'e': 0.006028331831758644}",20,8,22.765295953424882,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.8, 'e': 0.005907765195123471}",25,19,12.665821476555887,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.8, 'e': 0.005789609891221002}",20,10,20.53321436160762,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.8, 'e': 0.005673817693396582}",20,8,-18.835068357791748,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.8, 'e': 0.00556034133952865}",20,8,21.84868507494908,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.8, 'e': 0.005449134512738076}",20,12,16.738490869399,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.8, 'e': 0.0053401518224833145}",20,14,-0.44289793854797654,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.8, 'e': 0.005233348786033648}",25,13,18.307419107657704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.8, 'e': 0.005128681810312975}",20,16,7.339017361893394,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.8, 'e': 0.005026108174106716}",30,18,19.023368032546717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.8, 'e': 0.004925586010624581}",20,2,35.12880022504521,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.8, 'e': 0.004827074290412089}",20,11,16.13657976446927,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.8, 'e': 0.004730532804603847}",30,19,23.459468192674535,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.8, 'e': 0.00463592214851177}",25,9,25.584493065026223,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.8, 'e': 0.004543203705541535}",30,18,22.32374365599368,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.8, 'e': 0.004452339631430704}",25,7,27.87442664600391,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.8, 'e': 0.00436329283880209}",30,13,29.650060788086318,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.8, 'e': 0.004276026982026048}",20,8,22.541244637528944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.8, 'e': 0.004190506442385527}",30,7,46.30029451975481,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.8, 'e': 0.004106696313537816}",25,9,26.552804116010826,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.8, 'e': 0.00402456238726706}",25,11,28.275494764364872,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.8, 'e': 0.003944071139521719}",20,14,13.38993655840105,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.8, 'e': 0.0038651897167312848}",25,17,14.269848735629608,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.8, 'e': 0.003787885922396659}",25,0,44.23406355899693,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
277,False,"{'a': 0.8, 'e': 0.003712128203948726}",20,12,17.97755329317441,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
